,keyword,identity,general,labeller,label
0,retard,1,0,A0,identity
1,retarted,1,0,A0,identity
2,tard,1,0,A0,identity
3,mong,1,0,A0,identity
4,mongoloid,1,0,A0,identity
5,brain-damaged,1,0,A0,identity
6,feeble-minded,1,0,A0,identity
7,cretin,1,0,A0,identity
8,mentally handicapped,1,0,A0,identity
9,backward nut house,1,0,A0,identity
10,loony bin,1,0,A0,identity
11,lunatic,1,0,A0,identity
12,psycho,1,0,A0,identity
13,wacko,1,0,A0,identity
14,mentally handicapped,1,0,A0,identity
15,window-licker,1,0,A0,identity
16,mentally deficient,1,0,A0,identity
17,basket case,1,0,A0,identity
18,mentally deraged,1,0,A0,identity
19,autie,1,0,A0,identity
20,autarded,1,0,A0,identity
21,autist cripple,1,0,A0,identity
22,spastic,1,0,A0,identity
23,spatz,1,0,A0,identity
24,spazz,1,0,A0,identity
25,spazzie,1,0,A0,identity
26,deformed,1,0,A0,identity
27,handicapped,1,0,A0,identity
28,wheelchair-bound,1,0,A0,identity
29,cross-eyed,1,0,A0,identity
30,skew-eyed,1,0,A0,identity
31,boss-eyed,1,0,A0,identity
32,gozzy,1,0,A0,identity
33,boat nigger,1,0,A0,identity
34,drowners,1,0,A0,identity
35,rapefugees,1,0,A0,identity
36,immigrants,1,0,A0,identity
37,immigrant,1,0,A0,identity
38,plebs,1,0,A0,identity
39,chavs,1,0,A0,identity
40,nigger,1,0,A0,identity
41,niger,1,0,A0,identity
42,nigga,1,0,A0,identity
43,niggur,1,0,A0,identity
44,nigor,1,0,A0,identity
45,nigre,1,0,A0,identity
46,nig,1,0,A0,identity
47,nigguh,1,0,A0,identity
48,niggah,1,0,A0,identity
49,nigar,1,0,A0,identity
50,wog,1,0,A0,identity
51,spear chucker,1,0,A0,identity
52,ape,1,0,A0,identity
53,ghetto trash,1,0,A0,identity
54,cotton picker,1,0,A0,identity
55,baboon,1,0,A0,identity
56,coon,1,0,A0,identity
57,golliwog,1,0,A0,identity
58,kaffir,1,0,A0,identity
59,kafir,1,0,A0,identity
60,monkey,1,0,A0,identity
61,nig-nog,1,0,A0,identity
62,sambo,1,0,A0,identity
63,darky,1,0,A0,identity
64,darkey,1,0,A0,identity
65,darkie,1,0,A0,identity
66,negroid,1,0,A0,identity
67,niglet,1,0,A0,identity
68,nigglet,1,0,A0,identity
69,tar baby,1,0,A0,identity
70,negro,1,0,A0,identity
71,negroes,1,0,A0,identity
72,blacks,1,0,A0,identity
73,black people,1,0,A0,identity
74,black folk,1,0,A0,identity
75,groid,1,0,A0,identity
76,chink,1,0,A0,identity
77,chinky,1,0,A0,identity
78,ching-chongs,1,0,A0,identity
79,chinaman,1,0,A0,identity
80,bat-eaters,1,0,A0,identity
81,yellowman,1,0,A0,identity
82,yellowwoman,1,0,A0,identity
83,slant-eye,1,0,A0,identity
84,slopehead,1,0,A0,identity
85,brownie,1,0,A0,identity
86,curry-muncher,1,0,A0,identity
87,curry muncher,1,0,A0,identity
88,curry eater,1,0,A0,identity
